EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4339.487305,4453.846191,4202.05127,4642.563965,4348.717773,4047.692383,4374.871582,4225.641113,4861.538574,4371.282227,4494.358887,4782.05127,4372.820313,4574.871582
4345.128418,4463.589844,4204.102539,4647.179688,4351.282227,4052.820557,4374.871582,4223.077148,4862.05127,4386.153809,4509.743652,4783.589844,4377.436035,4586.153809
4343.077148,4461.538574,4200,4644.102539,4341.538574,4050.769287,4372.307617,4213.846191,4858.461426,4385.128418,4511.794922,4781.538574,4373.846191,4586.666504
4352.307617,4472.307617,4209.743652,4647.179688,4348.205078,4049.230713,4374.358887,4214.358887,4858.974121,4390.769043,4506.666504,4782.05127,4378.461426,4587.179688
4355.897461,4480,4217.436035,4652.307617,4357.94873,4047.179443,4369.230957,4218.461426,4853.333496,4386.666504,4508.205078,4780.512695,4374.358887,4586.666504
4342.563965,4466.666504,4207.692383,4645.641113,4347.179688,4040.512939,4358.461426,4214.358887,4846.153809,4374.358887,4506.666504,4778.974121,4360,4576.922852
4335.384766,4456.922852,4199.487305,4633.333496,4337.94873,4035.384521,4353.333496,4204.615234,4846.666504,4373.846191,4498.461426,4776.922852,4356.410156,4569.743652
4340,4461.025879,4201.538574,4625.128418,4344.102539,4038.974365,4358.461426,4205.128418,4845.641113,4374.358887,4483.589844,4771.794922,4355.384766,4570.256348
4335.384766,4460.512695,4201.538574,4620.512695,4343.589844,4043.589844,4367.692383,4215.384766,4849.230957,4368.205078,4474.358887,4764.102539,4345.641113,4562.563965
4328.205078,4457.436035,4195.897461,4621.538574,4335.897461,4046.153809,4372.820313,4222.05127,4860,4363.589844,4487.179688,4762.563965,4343.077148,4553.333496
4331.794922,4460.512695,4192.307617,4623.589844,4342.05127,4049.743652,4374.871582,4218.974121,4857.94873,4371.794922,4500,4768.205078,4351.794922,4556.410156
4331.282227,4455.384766,4186.666504,4612.820313,4350.769043,4048.205078,4373.846191,4205.641113,4841.538574,4377.436035,4485.641113,4763.077148,4354.871582,4557.94873
4320.512695,4441.538574,4181.025879,4596.922852,4349.743652,4044.615479,4372.820313,4203.077148,4840.512695,4359.487305,4466.153809,4748.717773,4348.205078,4551.282227
4318.974121,4439.487305,4182.563965,4601.538574,4350.256348,4048.205078,4378.461426,4224.102539,4855.384766,4341.025879,4471.794922,4750.769043,4353.333496,4549.230957
4321.538574,4445.641113,4186.153809,4610.256348,4355.897461,4053.846191,4386.666504,4230.256348,4861.025879,4350.256348,4489.230957,4763.589844,4381.538574,4552.307617
4313.846191,4448.717773,4184.102539,4602.563965,4359.487305,4050.769287,4382.05127,4217.94873,4858.974121,4355.384766,4502.05127,4764.102539,4405.128418,4554.358887
